|4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||TRF|L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKCL |4||   |L
SKVP |4|425|   |L
SKVP |5|TWR  118.00
M66  |4|347|   |L
M66  |5|UNIC 122.90
SKLT |4|.20|   |L
SKLT |5|TWR  118.10
SKLT |5|APR  119.10
LIEA |4|619|   |L
LIEA |5|ATIS 125.02
LIEA |5|TWR  118.85
LIEA |5|APR  128.55
LIEA |4||   |L
LIEA |4||   |L
LIEA |4||HRD|L
LIEA |4||   |L
LIEA |4||   |L
LIEA |4||   |L
LIEA |4||HRD|L
LIEA |4||   |L
LIEA |4||   |L
KAXA |4|081|   |L
KAXA |4|082|   |L
KAXA |5|ATIS 118.47
KAXA |5|UNIC 122.80
OKAS |4|.35|   |L
OKAS |4|.35|   |L
OKAS |5|TWR  118.00
OKAS |5|APR  128.30
ORTL |4|.94|   |L
ORTL |4|.94|   |L
ORTL |5|ATIS 122.70
ORTL |5|GRND 118.87
ORTL |5|TWR  122.12
ORTL |5|APR  120.20
CZAA |4|478|   |L
KALI |4|745|   |L
KALI |4|745|   |L
KALI |4|744|   |L
KALI |5|ATIS 119.22
KALI |5|UNIC 123.00
KALI |5|APR  119.90
KALI |5|DEP  119.90
RPMA |4|371|   |L
VIAL |4|443|   |L
VIAL |4|435|   |L
VIAL |5|TWR  123.50
VIAL |5|TWR  122.70
PFAL |4|550|   |L
PFAL |5|UNIC 122.90
OPLA |4|.53|   |L
OPLA |4|.53|   |L
OPLA |5|ATIS 126.30
OPLA |5|GRND 118.40
OPLA |5|TWR  118.10
OPLA |5|TWR  121.80
OPLA |5|APR  121.30
OPLA |5|APR  125.30
YALM |4|.26|   |L
YALN |4|.37|   |L
FAAL |4|.67|   |L
KAGC |4|354|   |L
KAGC |4|357|   |L
KAGC |5|ATIS 120.55
KAGC |5|UNIC 122.95
KAGC |5|GRND 121.70
KAGC |5|TWR  121.10
KAGC |5|APR  119.35
KAGC |5|TWR  239.00
KAGC |5|APR  285.57
KAGC |5|APR  337.40
KAGC |5|DEP  119.35
KAGC |5|DEP  285.57
KAGC |5|DEP  337.40
PABI |4|008|   |L
PABI |4|999|   |L
PABI |4|992|   |L
PABI |5|ATIS 135.65
PABI |5|ATIS 132.07
PABI |5|UNIC 122.90
PABI |5|GRND 118.22
PABI |5|TWR  125.32
KBKT |4|068|   |L
KBKT |4|069|   |L
KBKT |5|UNIC 122.95
KBKT |5|TWR  126.20
K88  |4|864|   |L
K88  |4|876|   |L
K88  |5|ATIS 128.32
K88  |5|UNIC 122.80
U78  |4|644|   |L
U78  |4|643|   |L
U78  |5|UNIC 122.80
KACP |4|757|   |L
KACP |5|ATIS 118.27
KACP |5|UNIC 122.80
KACP |5|APR  123.70
KAQX |4|001|   |L
KAQX |5|UNIC 122.80
KAIA |4|060|HRD|L
KAIA |4|059|HRD|L
KAIA |4|058|HRD|L
KAIA |5|ATIS 135.07
KAIA |5|UNIC 123.00
EDBT |4|376|   |L
EDBT |5|TWR  125.80
CYTF |4|511|   |L
CYTF |5|UNIC 123.00
CYTF |5|DEP  127.20
CYTF |5|APR  127.20
HEAZ |4|101|   |L
HEAZ |4|088|   |L
HEAZ |5|TWR  118.10
HEAZ |5|TWR  119.55
HEAZ |5|TWR  132.90
HEAZ |5|APR  119.05
HEAZ |5|APR  119.55
HEAZ |5|APR  120.70
SKRH |4|526|   |L
SKRH |5|TWR  118.40
SAVT |4|.21|   |L
SAVT |5|TWR  118.70
SAVT |5|TWR  120.65
M73  |4|415|   |L
M73  |4|415|   |L
M73  |5|UNIC 123.00
M73  |5|CLR  119.85
M73  |5|APR  119.85
VEAN |4|174|   |L
MPCE |4|981|   |L
KAPN |4|064|   |L
KAPN |4|076|   |L
KAPN |5|ATIS 120.67
KAPN |5|UNIC 121.35
KAPN |5|UNIC 122.95
KAPN |5|GRND 121.90
KAPN |5|TWR  121.35
KAPN |5|APR  128.42
KAPN |4||   |L
KAPN |4||HRD|L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
KAPN |4||   |L
FSAL |4|.00|   |L
46U  |4|187|HRD|L
46U  |5|UNIC 122.90
M45  |4|740|   |L
YALD |4|290|   |L
SBAT |4|.87|   |L
09CL |4|110|   |L
09CL |5|UNIC 122.90
0TA7 |4|157|   |L
0TA7 |4|161|   |L
0TA7 |4|141|   |L
SBHT |4|.25|   |L
SBHT |5|TWR  125.85
YALT |4|.36|   |L
SDXF |4|.12|   |L
CJL6 |4|098|   |L
CJL6 |4|095|   |L
CJL6 |5|UNIC 123.20
KAOO |4|288|   |L
KAOO |4|298|   |L
KAOO |5|ATIS 127.12
KAOO |5|UNIC 123.60
KAOO |5|UNIC 123.00
KLTS |4|.68|   |L
KLTS |4|.68|   |L
KLTS |4|682|   |L
KLTS |5|CLR  120.65
KLTS |5|GRND 121.85
KLTS |5|TWR  119.65
KLTS |5|APR  125.10
KLTS |5|DEP  125.10
KAXS |4|706|   |L
KAXS |5|ATIS 118.82
KAXS |5|UNIC 122.80
KAXS |5|APR  125.10
KAVK |4|780|   |L
KAVK |4|769|   |L
KAVK |5|ATIS 121.12
KAVK |5|UNIC 122.80
KAVK |5|APR  119.77
MP21 |4|775|   |L
LPAR |4|871|   |L
LPAR |5|TWR  122.10
LPAR |5|TWR  119.22
SEPS |4|.31|   |L
RJDA |4|485|   |L
RJDA |5|TWR  130.77
HL49 |4|484|   |L
HL49 |4|477|   |L
HL49 |4|478|   |L
RJKA |4|422|   |L
RJKA |5|TWR  134.80
RJKA |5|TWR  126.20
RJKA |5|TWR  118.15
SBAM |4|071|   |L
SBAM |5|TWR  125.70
SNAZ |4|.99|   |L
EEEI |4|257|   |L
EEEI |5|TWR  120.90
VIAM |4|.37|   |L
VIAM |4|.37|   |L
FMNW |4|.90|   |L
FMNW |5|TWR  118.10
FMNE |4|.18|   |L
PAFM |4|108|   |L
PAFM |4|109|   |L
PAFM |5|ATIS 132.10
PAFM |5|UNIC 122.70
GAMB |4|504|   |L
GAMB |5|TWR  118.10
KAHC |4|267|   |L
KAHC |5|UNIC 126.10
K59  |4|574|   |L
K59  |5|UNIC 122.80
K59  |5|CLR  118.10
K59  |5|APR  120.35
LIBA |4|544|   |L
